source_file,sub,ses,phase,run,sfreq,n_samples,duration_s,n_triggers,scan_start_s,scan_dur_s,gaze_valid_pct,pupil_valid_pct,gaze_viable,pupil_viable,decision,channels,note
sub-04/ses-27/eyetracking/s4s9r2m_2025_05_29_10_32.EDF,sub-04,ses-27,encoding,2,1000,1097441,1097.4,705,41.1,1056.0,84.2,88.4,True,True,include,gaze+pupil,
sub-04/ses-28/eyetracking/s4s10r1m_2025_05_30_10_39.EDF,sub-04,ses-28,encoding,1,1000,860259,860.3,539,52.5,807.0,90.4,90.6,True,True,include,gaze+pupil,
sub-04/ses-28/eyetracking/s4s10r1r_2025_05_30_11_22.EDF,sub-04,ses-28,retrieval,1,1000,2584663,2584.7,1686,56.9,2527.4,21.4,23.6,False,False,exclude,,
sub-04/ses-28/eyetracking/s4s10r2m_2025_05_30_10_55.EDF,sub-04,ses-28,encoding,2,1000,902709,902.7,576,39.7,862.5,88.2,89.9,True,True,include,gaze+pupil,
sub-05/ses-19/eyetracking/s5s1r1m_2025_07_10_14_03.EDF,sub-05,ses-19,encoding,1,500,529005,1058.0,681,37.5,1020.0,91.4,94.1,True,True,include,gaze+pupil,
sub-05/ses-19/eyetracking/s5s1r1r_2025_07_10_15_00.EDF,sub-05,ses-19,retrieval,1,500,700149,1400.3,847,130.3,1269.0,23.4,48.8,False,False,exclude,,
sub-05/ses-19/eyetracking/s5s1r2m_2025_07_10_14_29.EDF,sub-05,ses-19,encoding,2,500,522284,1044.6,675,34.0,1010.5,66.5,89.1,True,True,include,gaze+pupil,
sub-05/ses-20/eyetracking/s5s2r1m_2025_07_14_13_55.EDF,sub-05,ses-20,encoding,1,500,545080,1090.2,700,41.2,1048.5,70.2,88.7,True,True,include,gaze+pupil,
sub-05/ses-20/eyetracking/s5s2r1r_2025_07_14_14_43.EDF,sub-05,ses-20,retrieval,1,500,641101,1282.2,826,43.9,1237.5,24.6,61.0,False,True,include,pupil_only,
sub-05/ses-20/eyetracking/s5s2r2m_2025_07_14_14_14.EDF,sub-05,ses-20,encoding,2,500,518537,1037.1,668,36.1,1000.5,66.5,84.7,True,True,include,gaze+pupil,
sub-05/ses-21/eyetracking/s5s3r1m_2025_07_17_12_40.EDF,sub-05,ses-21,encoding,1,500,535711,1071.4,686,43.4,1027.5,90.7,92.1,True,True,include,gaze+pupil,
sub-05/ses-21/eyetracking/s5s3r1r_2025_07_17_13_30.EDF,sub-05,ses-21,retrieval,1,500,816143,1632.3,1054,52.2,1579.5,47.3,55.0,False,False,exclude,,
sub-05/ses-21/eyetracking/s5s3r2m_2025_07_17_12_59.EDF,sub-05,ses-21,encoding,2,500,558463,1116.9,721,37.0,1080.0,87.2,88.6,True,True,include,gaze+pupil,
sub-05/ses-22/eyetracking/s5s4r1m_2025_07_22_10_13.EDF,sub-05,ses-22,encoding,1,500,638564,1277.1,815,55.7,1221.0,90.5,92.6,True,True,include,gaze+pupil,
sub-05/ses-22/eyetracking/s5s4r1r_2025_07_22_11_05.EDF,sub-05,ses-22,retrieval,1,500,954699,1909.4,1247,40.3,1869.0,41.4,48.7,False,False,exclude,,
